404 18*a-8 ['?', 0, -2, -4, -1, 6, 4, 2, 9, -4, -5, -11, -2, 3, 6, -5, -6, 1, -16, -12, -8, 6, 12, 9]
404 18*a-10 ['?', 0, -2, -4, 6, -1, 2, 4, -4, 9, -11, -5, 3, -2, -5, 6, 1, -6, -12, -16, 6, -8, 9, 12]
404 18*a-8 ['?', 0, 1, -10, 2, -3, -5, 5, 0, 5, -8, 7, -8, -3, 0, 10, -3, -8, 2, 12, 10, 0, 0, -15]
431 -19*a+5 [2, -5, 0, -4, 6, 0, 5, -1, -9, 9, -4, 2, -9, 9, -12, -12, 8, -4, -6, 3, -4, -1, -6, 15]
431 -19*a+14 [2, -5, 0, -4, 0, 6, -1, 5, 9, -9, 2, -4, 9, -9, -12, -12, -4, 8, 3, -6, -1, -4, 15, -6]
441 21 [0, '?', -4, '?', -3, -3, 0, 0, 5, 5, 2, 2, 2, 2, -10, -10, -8, -8, -8, -8, 5, 5, 0, 0]
445 -19*a+7 [1, 2, '?', -6, 0, 0, -8, 4, -10, -2, 0, 4, 10, 2, 0, 4, 14, -2, -16, 8, -12, -4, '?', '?']
445 19*a-12 [1, 2, '?', -6, 0, 0, 4, -8, -2, -10, 4, 0, 2, 10, 4, 0, -2, 14, 8, -16, -4, -12, '?', '?']
445 19*a-12 [-1, 4, '?', -4, -6, 0, -4, 2, 6, 6, -4, -4, 0, 6, 12, 0, 14, -4, 0, 12, -16, 2, '?', '?']
445 -19*a+7 [-1, 4, '?', -4, 0, -6, 2, -4, 6, 6, -4, -4, 6, 0, 0, 12, -4, 14, 12, 0, 2, -16, '?', '?']
451 3*a-23 [-2, -4, -1, -6, '?', '?', 6, -1, 2, 9, -10, 4, '?', '?', -3, 4, 6, -8, -12, 9, -11, -4, -1, -8]
451 19*a-10 [3, 1, -1, 4, '?', '?', -6, 1, -6, 2, 4, 0, '?', '?', -1, 2, -3, 6, -6, -12, 11, 14, -3, -16]
451 19*a-9 [3, 1, -1, 4, '?', '?', 1, -6, 2, -6, 0, 4, '?', '?', 2, -1, 6, -3, -12, -6, 14, 11, -16, -3]
451 -3*a-20 [-2, -4, -1, -6, '?', '?', -1, 6, 9, 2, 4, -10, '?', '?', 4, -3, -8, 6, 9, -12, -4, -11, -8, -1]
451 19*a-10 [-2, -4, -1, -6, '?', '?', -1, 6, 9, 2, 4, -10, '?', '?', 4, -3, -8, 6, 9, -12, -4, -11, -8, -1]
451 19*a-9 [-2, -4, -1, -6, '?', '?', 6, -1, 2, 9, -10, 4, '?', '?', -3, 4, 6, -8, -12, 9, -11, -4, -1, -8]
464 4*a+20 ['?', 0, 4, 2, -4, 0, -6, 4, '?', '?', -2, -8, -12, 6, 0, 6, 6, -4, 10, 16, -4, 4, 6, -6]
464 4*a+20 ['?', 0, 1, 5, 2, -3, 0, -5, '?', '?', 7, -8, 12, -3, 0, 0, 12, 2, -8, 7, -10, -5, 0, 15]
464 -4*a+24 ['?', -4, -1, 1, 5, -2, -1, -8, '?', '?', 4, -3, -7, 0, 4, 4, 6, -8, 9, 16, -11, 10, -1, -8]
464 -4*a+24 ['?', 0, 1, 5, -3, 2, -5, 0, '?', '?', -8, 7, -3, 12, 0, 0, 2, 12, 7, -8, -5, -10, 15, 0]
464 4*a+20 ['?', -4, -1, 1, -2, 5, -8, -1, '?', '?', -3, 4, 0, -7, 4, 4, -8, 6, 16, 9, 10, -11, -8, -1]
464 -4*a+24 ['?', 0, 4, 2, 0, -4, 4, -6, '?', '?', -8, -2, 6, -12, 6, 0, -4, 6, 16, 10, 4, -4, -6, 6]
475 -20*a+5 [-1, -2, '?', 2, 0, 0, '?', '?', 6, -6, 8, -4, -6, -6, 12, 12, 14, -10, 0, 12, 8, -16, -6, 6]
475 -20*a+15 [-1, -2, '?', 2, 0, 0, '?', '?', -6, 6, -4, 8, -6, -6, 12, 12, -10, 14, 12, 0, -16, 8, 6, -6]
484 22 ['?', -5, 1, -10, '?', '?', 0, 0, 0, 0, 7, 7, -8, -8, 5, 5, 12, 12, -3, -3, -10, -10, 15, 15]
484 22 ['?', 5, -4, 5, '?', '?', 5, 5, -5, -5, 7, 7, -8, -8, 0, 0, -13, -13, -3, -3, 0, 0, 15, 15]
484 22 ['?', -3, 4, 13, '?', '?', 7, 7, -3, -3, -5, -5, -8, -8, -12, -12, 5, 5, -7, -7, 4, 4, 7, 7]
495 3*a+21 [-1, '?', '?', 14, '?', '?', 8, -4, -6, 6, 8, -4, -6, 6, -12, 0, -10, 2, 0, 0, -4, 8, -18, 6]
495 -3*a+24 [3, '?', '?', -2, '?', '?', 4, 0, -2, 2, 4, -8, -10, 2, 0, 4, -6, -10, -8, 0, -16, 4, 14, -10]
495 3*a+21 [-3, '?', '?', -14, '?', '?', 4, 4, -2, -2, 0, 0, 10, 10, -4, -4, -2, -2, -8, -8, 0, 0, -6, -6]
495 -3*a+24 [-3, '?', '?', -14, '?', '?', 4, 4, -2, -2, 0, 0, 10, 10, -4, -4, -2, -2, -8, -8, 0, 0, -6, -6]
495 3*a+21 [3, '?', '?', -2, '?', '?', 0, 4, 2, -2, -8, 4, 2, -10, 4, 0, -10, -6, 0, -8, 4, -16, -10, 14]
495 -3*a+24 [1, '?', '?', 2, '?', '?', -4, 4, -2, 6, 8, -8, 2, -6, 12, 12, -2, -2, -8, 8, 8, 16, -14, 2]
495 3*a+21 [1, '?', '?', 2, '?', '?', 4, -4, 6, -2, -8, 8, -6, 2, 12, 12, -2, -2, 8, -8, 16, 8, 2, -14]
495 -3*a+24 [-1, '?', '?', 14, '?', '?', -4, 8, 6, -6, -4, 8, 6, -6, 0, -12, 2, -10, 0, 0, 8, -4, 6, -18]
505 a+22 [0, 1, '?', 9, 5, -6, 7, 8, -6, 0, 2, -8, 0, -9, 5, -14, -5, 0, -1, 13, -6, -8, -1, -18]
505 a-23 [0, 1, '?', 9, -6, 5, 8, 7, 0, -6, -8, 2, -9, 0, -14, 5, 0, -5, 13, -1, -8, -6, -18, -1]
539 21*a-14 [-3, -1, -1, '?', '?', '?', -6, -3, -1, -4, -4, -4, 5, 8, 11, -7, 13, -14, 4, -2, 5, -10, -9, 6]
539 21*a-7 [-3, -1, -1, '?', '?', '?', -3, -6, -4, -1, -4, -4, 8, 5, -7, 11, -14, 13, -2, 4, -10, 5, 6, -9]
