Data for fields of degree 3, prime conductor < 10000 with curve 42a1
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
42a1                 256                  256.0000             256.0000             3037                 3
42a1                 16                   16.0000              64.0000              3049                 3
42a1                 0                    0.0000               0.0000               3061                 3
42a1                 256                  256.0000             1024.0000            3067                 3
42a1                 1                    1.0000               4.0000               3079                 3
42a1                 64                   64.0000              256.0000             3109                 3
42a1                 25281                25281.0000           25281.0000           3121                 3
42a1                 25                   25.0000              1600.0000            3163                 3
42a1                 25                   25.0000              25.0000              3169                 3
42a1                 16                   16.0000              4096.0000            3181                 3
42a1                 0                    -0.0000              -0.0000              3187                 3
42a1                 1024                 1024.0000            4096.0000            3217                 3
42a1                 361                  361.0000             23104.0000           3229                 3
42a1                 49                   49.0000              196.0000             3253                 3
42a1                 4                    4.0000               256.0000             3259                 3
42a1                 144                  144.0000             9216.0000            3271                 3
42a1                 784                  784.0000             784.0000             3301                 3
42a1                 1521                 1521.0000            1521.0000            3307                 3
42a1                 1089                 1089.0000            1089.0000            3313                 3
42a1                 4                    4.0000               16.0000              3319                 3
42a1                 64                   64.0000              4096.0000            3331                 3
42a1                 9                    9.0000               2304.0000            3343                 3
42a1                 81                   81.0000              81.0000              3361                 3
42a1                 49                   49.0000              12544.0000           3373                 3
42a1                 36                   36.0000              2304.0000            3391                 3
42a1                 16                   16.0000              16.0000              3433                 3
42a1                 16                   16.0000              1024.0000            3457                 3
42a1                 9                    9.0000               576.0000             3463                 3
42a1                 1                    1.0000               1.0000               3469                 3
42a1                 169                  169.0000             676.0000             3499                 3
42a1                 1                    1.0000               1.0000               3511                 3
42a1                 16                   16.0000              64.0000              3517                 3
42a1                 144                  144.0000             576.0000             3529                 3
42a1                 0                    -0.0000              -0.0000              3541                 3
42a1                 64                   64.0000              64.0000              3547                 3
42a1                 729                  729.0000             729.0000             3559                 3
42a1                 169                  169.0000             169.0000             3571                 3
42a1                 144                  144.0000             144.0000             3583                 3
42a1                 9                    9.0000               2304.0000            3607                 3
42a1                 9801                 9801.0000            9801.0000            3613                 3
42a1                 9                    9.0000               2304.0000            3631                 3
42a1                 16                   16.0000              16.0000              3637                 3
42a1                 441                  441.0000             441.0000             3643                 3
42a1                 49                   49.0000              49.0000              3673                 3
42a1                 5929                 5929.0000            5929.0000            3691                 3
42a1                 625                  625.0000             625.0000             3697                 3
42a1                 0                    -0.0000              -0.0000              3709                 3
42a1                 144                  144.0000             144.0000             3727                 3
42a1                 16                   16.0000              64.0000              3733                 3
42a1                 289                  289.0000             1156.0000            3739                 3
42a1                 1849                 1849.0000            1849.0000            3769                 3
42a1                 18225                18225.0000           18225.0000           3793                 3
42a1                 0                    -0.0000              -0.0000              3823                 3
42a1                 144                  144.0000             576.0000             3847                 3
42a1                 49                   49.0000              196.0000             3853                 3
42a1                 256                  256.0000             256.0000             3877                 3
42a1                 36                   36.0000              9216.0000            3889                 3
42a1                 0                    -0.0000              -0.0000              3907                 3
42a1                 256                  256.0000             256.0000             3919                 3
42a1                 169                  169.0000             169.0000             3931                 3
42a1                 256                  256.0000             16384.0000           3943                 3
42a1                 1                    1.0000               4.0000               3967                 3
42a1                 3969                 3969.0000            3969.0000            4003                 3
42a1                 2704                 2704.0000            2704.0000            4021                 3
42a1                 529                  529.0000             33856.0000           4027                 3
42a1                 169                  169.0000             10816.0000           4051                 3
42a1                 169                  169.0000             43264.0000           4057                 3
42a1                 729                  729.0000             2916.0000            4093                 3
42a1                 64                   64.0000              256.0000             4099                 3
42a1                 3969                 3969.0000            3969.0000            4111                 3
42a1                 441                  441.0000             28224.0000           4129                 3
42a1                 1024                 1024.0000            65536.0000           4153                 3
42a1                 1089                 1089.0000            1089.0000            4159                 3
42a1                 64                   64.0000              16384.0000           4177                 3
42a1                 1369                 1369.0000            1369.0000            4201                 3
42a1                 400                  400.0000             400.0000             4219                 3
42a1                 1296                 1296.0000            1296.0000            4231                 3
42a1                 1521                 1521.0000            1521.0000            4243                 3
42a1                 4624                 4624.0000            4624.0000            4261                 3
42a1                 961                  961.0000             961.0000             4273                 3
42a1                 5184                 5184.0000            5184.0000            4297                 3
42a1                 361                  361.0000             361.0000             4327                 3
42a1                 9                    9.0000               2304.0000            4339                 3
42a1                 1024                 1024.0000            1024.0000            4357                 3
42a1                 16                   16.0000              16.0000              4363                 3
42a1                 1                    1.0000               64.0000              4423                 3
42a1                 49                   49.0000              49.0000              4441                 3
42a1                 1849                 1849.0000            1849.0000            4447                 3
42a1                 64                   64.0000              256.0000             4483                 3
42a1                 5776                 5776.0000            5776.0000            4507                 3
42a1                 1                    1.0000               256.0000             4513                 3
42a1                 49                   49.0000              3136.0000            4519                 3
42a1                 1                    1.0000               64.0000              4549                 3
42a1                 0                    -0.0000              -0.0000              4561                 3
42a1                 36                   36.0000              2304.0000            4567                 3
42a1                 16                   16.0000              16.0000              4591                 3
42a1                 625                  625.0000             40000.0000           4597                 3
42a1                 529                  529.0000             529.0000             4603                 3
42a1                 16                   16.0000              16.0000              4621                 3
42a1                 256                  256.0000             256.0000             4639                 3
42a1                 484                  484.0000             30976.0000           4651                 3
42a1                 25                   25.0000              1600.0000            4657                 3
42a1                 441                  441.0000             28224.0000           4663                 3
42a1                 49                   49.0000              49.0000              4723                 3
42a1                 36                   36.0000              9216.0000            4729                 3
42a1                 225                  225.0000             14400.0000           4759                 3
42a1                 144                  144.0000             576.0000             4783                 3
42a1                 784                  784.0000             784.0000             4789                 3
42a1                 11664                11664.0000           11664.0000           4801                 3
42a1                 49                   49.0000              49.0000              4813                 3
42a1                 6561                 6561.0000            6561.0000            4831                 3
42a1                 225                  225.0000             225.0000             4861                 3
42a1                 1089                 1089.0000            1089.0000            4903                 3
42a1                 36                   36.0000              2304.0000            4909                 3
42a1                 256                  256.0000             1024.0000            4933                 3
42a1                 49                   49.0000              196.0000             4951                 3
42a1                 64                   64.0000              256.0000             4957                 3
42a1                 0                    0.0000               0.0000               4969                 3
42a1                 121                  121.0000             121.0000             4987                 3
42a1                 121                  121.0000             484.0000             4993                 3
42a1                 1                    1.0000               1.0000               4999                 3
42a1                 81                   81.0000              324.0000             5011                 3
42a1                 1296                 1296.0000            1296.0000            5023                 3
42a1                 484                  484.0000             1936.0000            5059                 3
42a1                 361                  361.0000             1444.0000            5077                 3
42a1                 225                  225.0000             14400.0000           5101                 3
42a1                 1                    1.0000               1.0000               5107                 3
42a1                 1                    1.0000               256.0000             5113                 3
42a1                 169                  169.0000             169.0000             5119                 3
42a1                 169                  169.0000             10816.0000           5167                 3
42a1                 9                    9.0000               36.0000              5179                 3
42a1                 49                   49.0000              12544.0000           5197                 3
42a1                 4                    4.0000               256.0000             5209                 3
42a1                 16                   16.0000              64.0000              5227                 3
42a1                 0                    -0.0000              -0.0000              5233                 3
42a1                 169                  169.0000             169.0000             5281                 3
42a1                 49                   49.0000              12544.0000           5323                 3
42a1                 729                  729.0000             46656.0000           5347                 3
