Data for fields of degree 3 of conductor < 10000 with curves having conductor between 11 and 11
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
11a1                 49                   49.0000              1225.0000            3259                 3
11a1                 256                  256.0000             6400.0000            3271                 3
11a1                 22500                22500.0000           22500.0000           3301                 3
11a1                 225                  225.0000             225.0000             3307                 3
11a1                 13225                13225.0000           13225.0000           3313                 3
11a1                 16                   16.0000              400.0000             3319                 3
11a1                 36                   36.0000              900.0000             3331                 3
11a1                 225                  225.0000             225.0000             3343                 3
11a1                 3600                 3600.0000            3600.0000            3361                 3
11a1                 25                   25.0000              25.0000              3373                 3
11a1                 5625                 5625.0000            5625.0000            3391                 3
11a1                 3364                 3364.0000            84099.9999           3433                 3
11a1                 1                    1.0000               25.0000              3457                 3
11a1                 4                    4.0000               100.0000             3463                 3
11a1                 36                   36.0000              900.0000             3469                 3
11a1                 52900                52900.0000           52900.0000           3499                 3
11a1                 121                  121.0000             3025.0000            3511                 3
11a1                 14400                14400.0000           14400.0000           3517                 3
11a1                 2500                 2500.0000            2500.0000            3529                 3
11a1                 256                  256.0000             6400.0000            3541                 3
11a1                 44100                44100.0000           44100.0000           3547                 3
11a1                 1                    1.0000               25.0000              3559                 3
11a1                 176400               176400.0000          176400.0000          3571                 3
11a1                 676                  676.0000             16900.0000           3583                 3
11a1                 100                  100.0000             100.0000             3607                 3
11a1                 180625               180625.0000          180625.0000          3613                 3
11a1                 0                    -0.0000              -0.0000              3631                 3
11a1                 49                   49.0000              1225.0000            3637                 3
11a1                 102400               102400.0000          102400.0000          3643                 3
11a1                 8100                 8100.0000            8100.0000            3673                 3
11a1                 50625                50625.0000           50625.0000           3691                 3
11a1                 38025                38025.0000           38025.0000           3697                 3
11a1                 324                  324.0000             8100.0000            3709                 3
11a1                 189225               189225.0000          189225.0000          3727                 3
11a1                 4                    4.0000               100.0000             3733                 3
11a1                 484                  484.0000             12100.0000           3739                 3
11a1                 9025                 9025.0000            9025.0000            3769                 3
11a1                 10000                10000.0000           10000.0000           3793                 3
11a1                 49                   49.0000              1225.0000            3823                 3
11a1                 1                    1.0000               25.0000              3847                 3
11a1                 2025                 2025.0000            2025.0000            3853                 3
11a1                 19600                19600.0000           19600.0000           3877                 3
11a1                 0                    0.0000               0.0000               3889                 3
11a1                 225                  225.0000             225.0000             3907                 3
11a1                 196                  196.0000             4900.0000            3919                 3
11a1                 14400                14400.0000           14400.0000           3931                 3
11a1                 64                   64.0000              1600.0000            3943                 3
11a1                 4225                 4225.0000            4225.0000            3967                 3
11a1                 2916                 2916.0000            72900.0000           4003                 3
11a1                 7225                 7225.0000            7225.0000            4021                 3
11a1                 1225                 1225.0000            1225.0000            4027                 3
11a1                 16                   16.0000              400.0000             4051                 3
11a1                 400                  400.0000             400.0000             4057                 3
11a1                 625                  625.0000             625.0000             4093                 3
11a1                 2025                 2025.0000            2025.0000            4099                 3
11a1                 275625               275625.0000          275625.0000          4111                 3
11a1                 2025                 2025.0000            2025.0000            4129                 3
11a1                 841                  841.0000             21025.0000           4153                 3
11a1                 67600                67599.9999           67599.9999           4159                 3
11a1                 25                   25.0000              25.0000              4177                 3
11a1                 156025               156025.0000          156025.0000          4201                 3
11a1                 961                  961.0000             24025.0000           4219                 3
11a1                 3025                 3025.0000            3025.0000            4231                 3
11a1                 211600               211599.9998          211599.9998          4243                 3
11a1                 112225               112225.0000          112225.0000          4261                 3
11a1                 12100                12100.0000           12100.0000           4273                 3
11a1                 280900               280900.0000          280900.0000          4297                 3
11a1                 9409                 9409.0000            235225.0000          4327                 3
11a1                 1225                 1225.0000            1225.0000            4339                 3
11a1                 5776                 5776.0000            144400.0000          4357                 3
11a1                 196                  196.0000             4900.0000            4363                 3
11a1                 121                  121.0000             3025.0000            4423                 3
11a1                 169                  169.0000             4225.0000            4441                 3
11a1                 216225               216225.0000          216225.0000          4447                 3
11a1                 9                    9.0000               225.0000             4483                 3
11a1                 216225               216225.0000          216225.0000          4507                 3
11a1                 0                    -0.0000              -0.0000              4513                 3
11a1                 900                  900.0000             900.0000             4519                 3
11a1                 0                    -0.0000              -0.0000              4549                 3
11a1                 16900                16900.0000           16900.0000           4561                 3
11a1                 11025                11025.0000           11025.0000           4567                 3
11a1                 70225                70224.9999           70224.9999           4591                 3
11a1                 2025                 2025.0000            2025.0000            4597                 3
11a1                 32400                32400.0000           32400.0000           4603                 3
11a1                 2025                 2025.0000            2025.0000            4621                 3
11a1                 140625               140624.9998          140624.9998          4639                 3
11a1                 3600                 3600.0000            3600.0000            4651                 3
11a1                 13225                13225.0000           13225.0000           4657                 3
11a1                 10000                10000.0000           10000.0000           4663                 3
11a1                 3481                 3481.0000            87025.0000           4723                 3
11a1                 1                    1.0000               25.0000              4729                 3
11a1                 1                    1.0000               25.0000              4759                 3
11a1                 2500                 2500.0000            2500.0000            4783                 3
11a1                 129600               129600.0000          129600.0000          4789                 3
11a1                 8649                 8649.0000            216224.9998          4801                 3
11a1                 129600               129600.0000          129600.0000          4813                 3
11a1                 136900               136900.0000          136900.0000          4831                 3
11a1                 900                  900.0000             900.0000             4861                 3
11a1                 12769                12769.0000           319225.0000          4903                 3
11a1                 3025                 3025.0000            3025.0000            4909                 3
11a1                 100                  100.0000             100.0000             4933                 3
11a1                 121                  121.0000             3025.0000            4951                 3
11a1                 11025                11025.0000           11025.0000           4957                 3
